aen	aː ə n
opwullen	o p v u l ə n
opgewullt	o p g ə v u l t
opzéien	o p ts ɜɪ ə n
opgezunn	o p g ə ts u n
opzeräissen	o p ts ə ʀ æːɪ s ə n
opzerass	o p ts ə ʀ ɑ s
opzielen	o p ts iə l ə n
opgezielt	o p g ə ts iə l t
opzielung	o p ts iə l u ŋ
opzielungen	o p ts iə l u ŋ ə n
opzillen	o p ts i l ə n
opgezillt	o p g ə ts i l t
opzwéngen	o p ts w e ŋ ə n
opgezwongen	o p g ə ts w o ŋ ə n
oral	o ʀ aː l
orallen	o ʀ ɑ l ə n
orange	o ʀ ɑ̃ː ʃ
orangen	o ʀ ɑ̃ː ʒ ə n
orangëjus	o ʀ ɑ̃ː ʒ ə ʒ yː
orangëjusen	o ʀ ɑ̃ː ʒ ə ʒ yː ə n
orbit	ɔ ʀ b i
orbiter	ɔ ʀ b i t ɐ
orchester	o ʀ ʃ æ s t ɐ
orchesteren	o ʀ ʃ æ s t ə ʀ ə n
orchesterstéck	o ʀ ʃ æ s t ɐ ʃ t e k
orchesterstécker	o ʀ ʃ æ s t ɐ ʃ t e k ɐ
orchidee	o ʀ ɕ i d eː
orchideeën	o ʀ ɕ i d eː ə n
orchideeënzort	o ʀ ɕ i d eː ə n ts ɔ ʀ t
orchideeënzorten	o ʀ ɕ i d eː ə n ts ɔ ʀ t ə n
ordinär	ɔ ʀ d i n ɛː ʀ
ordonnance	ɔ ʀ d o n ɑ̃ː s
ordonnancen	ɔ ʀ d o n ɑ̃ː s ə n
ordonnéieren	ɔ ʀ d o n ɜɪ ə ʀ ə n
ordonnéiert	ɔ ʀ d o n ɜɪ ɐ t
organ	ɔ ʀ g aː n
organer	ɔ ʀ g aː n ɐ
organesch	ɔ ʀ g aː n ə ʃ
organigramm	ɔ ʀ g aː n i g ʀ ɑ m
organigrammen	ɔ ʀ g aː n i g ʀ ɑ m ə n
organisateur	ɔ ʀ g aː n i z ɑ t œː ʀ
organisateuren	ɔ ʀ g aː n i z ɑ t œː ʀ ə n
organisatioun	ɔ ʀ g aː n i z ɑ ts j əʊ n
organisatiounen	ɔ ʀ g aː n i z ɑ ts j əʊ n ə n
organisatoresch	ɔ ʀ g aː n i z ɑ t oː ʀ ə ʃ
organisatrice	ɔ ʀ g aː n i z ɑ t ʀ i s
organisatricen	ɔ ʀ g aː n i z ɑ t ʀ i s ə n
organiséieren	ɔ ʀ g aː n i z ɜɪ ə ʀ ə n
organiséiert	ɔ ʀ g aː n i z ɜɪ ɐ t
organismus	ɔ ʀ g aː n i s m u s
organismen	ɔ ʀ g aː n i s m ə n
organist	ɔ ʀ g aː n i s t
organisten	ɔ ʀ g aː n i s t ə n
organistin	ɔ ʀ g aː n i s t i n
organistinnen	ɔ ʀ g aː n i s t i n ə n
orgasmus	ɔ ʀ g aː s m u s
orgasmussen	ɔ ʀ g aː s m u s ə n
orgie	o ʀ ʒ iː
orgien	o ʀ ʒ iː ə n
orientalesch	o ʀ j æ n t ɑ l ə ʃ
orientatioun	o ʀ j æ n t ɑ ts j əʊ n
orientatiounen	o ʀ j æ n t ɑ ts j əʊ n ə n
orientéieren	o ʀ j æ n t ɜɪ ə ʀ ə n
orientéiert	o ʀ j æ n t ɜɪ ɐ t
orientéierung	o ʀ j æ n t ɜɪ ə ʀ u ŋ
orientéierungen	o ʀ j æ n t ɜɪ ə ʀ u ŋ ə n
original	o ʀ i ʒ i n aː l
originaler	o ʀ i ʒ i n aː l ɐ
originalitéit	o ʀ i ʒ i n ɑ l i t ɜɪ t
originaltext	o ʀ i ʒ i n ɑ l t æ k s t
originaltexter	o ʀ i ʒ i n ɑ l t æ k s t ɐ
origine	o ʀ i ʒ i n
originnen	o ʀ i ʒ i n ə n
originell	o ʀ i ʒ i n æ l
orkan	o ʀ k aː n
orkaner	o ʀ k aː n ɐ
ornament	ɔ ʀ n aː m æ n t
ornamenter	ɔ ʀ n aː m æ n t ɐ
orthodox	ɔ ʀ t o d o k s
orthografesch	ɔ ʀ t o g ʀ aː f ə ʃ
orthografie	ɔ ʀ t o g ʀ aː f iː
orthografien	ɔ ʀ t o g ʀ aː f iː ə n
orthographesch	ɔ ʀ t o g ʀ aː f ə ʃ
orthographie	ɔ ʀ t o g ʀ ɑ f iː
orthographien	ɔ ʀ t o g ʀ ɑ f iː ə n
osper	o s p ɐ
osten	o s t ə n
otem	oː t ə m
ouer	əʊ ɐ
oueren	əʊ ə ʀ ə n
ouereschlëffer	əʊ ə ʀ ə ʃ l ə f ɐ
ouereschmalz	əʊ ə ʀ ə ʃ m ɑ l ts
ouerestääbchen	əʊ ə ʀ ə ʃ t ɛː p ɕ ə n
ouerestäbercher	əʊ ə ʀ ə ʃ t ɛː b ɐ ɕ ɐ
ouerrank	əʊ ɐ ʀ ɑ ŋ k
ouerréng	əʊ ɐ ʀ e ŋ
ouerrénk	əʊ ɐ ʀ e ŋ k
ouljen	əʊ l ʒ ə n
ouni	əʊ n iː
ounst	əʊ n s t
our	uː ʀ
ouschterblumm	əʊ ʃ t ɐ b l u m
ouschterblummen	əʊ ʃ t ɐ b l u m ə n
ouschterbotz	əʊ ʃ t ɐ b o ts
ouschterdag	əʊ ʃ t ɐ d aː χ
ouschterdeeg	əʊ ʃ t ɐ d eː ɕ
ouschteree	əʊ ʃ t ə ʀ eː
ouschtereeër	əʊ ʃ t ə ʀ eː ɐ
ouschteren	əʊ ʃ t ə ʀ ə n
ouschterhues	əʊ ʃ t ɐ h uə s
ouschterhuesen	əʊ ʃ t ɐ h uə z ə n
ouschterkäerz	əʊ ʃ t ɐ k ɛː ɐ ts
ouschterkäerzen	əʊ ʃ t ɐ k ɛː ɐ ts ə n
ouschternuecht	əʊ ʃ t ɐ n uə ɕ t
ouschternuechten	əʊ ʃ t ɐ n uə ɕ t ə n
ouschtervakanz	əʊ ʃ t ɐ v ɑ k ɑ n ts
ouschtervakanzen	əʊ ʃ t ɐ v ɑ k ɑ n ts ə n
out	əʊ t
outen	əʊ t ə n
geout	ʒ eː o uː t
outfit	əʊ t f i t
outfitten	əʊ t f i t ə n
ouverture	əʊ f ɐ t yː ʀ
ouverturen	əʊ f ɐ t uː ʀ ə n
ouvertureszäiten	əʊ f ɐ t uː ʀ ə s ts æːɪ t ə n
oval	o v aː l
ovatioun	o v aː ts j əʊ n
ovatiounen	o v ɑ ts j əʊ n ə n
overall	o v æ ʀ ɑ l
overallen	o v æ ʀ ɑ l ə n
owend	oː v ə n t
owenter	oː v ə n t ɐ
owendiessen	oː v ə n d iə s ə n
owes	oː v ə s
owescours	oː v ə s k uː ɐ
owescoursen	oː v ə s k uː ə ʀ ə n
owesiessen	oː v ə s iə s ə n
oweskeess	oː v ə s k eː s
oweskeesen	oː v ə s k eː z ə n
owesstonnen	oː v ə s ʃ t o n ə n
ozean	o ts æ aː n
ozeanen	o ts æ aː n ə n
ozon	o ts oː n
paangech	p aː ŋ ə ɕ
paangecher	p aː ŋ ə ɕ ɐ
paart	p aː ʀ t
paarten	p aː ʀ t ə n
pabeier	p ɑ b ɑɪ ɐ
pabeieren	p ɑ b ɑɪ ə ʀ ə n
pabeierkrich	p ɑ b ɑɪ ɐ k ʀ i ɕ
pabeierkuerf	p ɑ b ɑɪ ɐ k u ə f
pabeierkierf	p ɑ b ɑɪ ɐ k iː ɐ f
pabeiers	p ɑ b ɑɪ ɐ s
pabeiersammlung	p ɑ b ɑɪ ɐ z ɑ m l u ŋ
pabeiersammlungen	p ɑ b ɑɪ ɐ z ɑ m l u ŋ ə n
pabeierschnëppel	p ɑ b ɑɪ ɐ ʃ n ə p ə l
pabeierschnëppelen	p ɑ b ɑɪ ɐ ʃ n ə p ə l ə n
pacht	p ɑ χ t
pachten	p ɑ χ t ə n
gepacht	g ə p ɑ χ t
päckelchen	p æ k ə l ɕ ə n
päckelcher	p æ k ə l ɕ ɐ
packen	p ɑ k ə n
gepackt	g ə p ɑ k t
packung	p ɑ k u ŋ
packungen	p ɑ k u ŋ ə n
pacsen	p ɑ k z ə n
gepacst	g ə p ɑ k s t
pad	p aː t
pied	p iə t
pädagog	p ɛː d aː χ oː k
pädagogen	p ɛː d aː χ oː ʁ ə n
pädagogesch	p ɛː d aː χ oː ʁ ə ʃ
pädagogik	p ɛː d aː χ oː g i k
pädagogin	p ɛː d aː χ oː g i n
pädagoginnen	p ɛː d aː χ oː g i n ə n
paddel	p ɑ d ə l
paddelen	p ɑ d ə l ə n
paddelboot	p ɑ d ə l b oː t
paddelbooter	p ɑ d ə l b oː t ɐ
gepaddelt	g ə p ɑ d ə l t
päerd	p ɛː ɐ t
päerdchen	p ɛː ɐ t ɕ ə n
päerdercher	p ɛː ɐ d ɐ ɕ ɐ
päerderchersspill	p ɛː ɐ d ɐ ɕ ɐ s ʃ p i l
päerderchersspiller	p ɛː ɐ d ɐ ɕ ɐ s ʃ p i l ɐ
päerdsbier	p ɛː ɐ t s b iː ɐ
päerdsbieren	p ɛː ɐ t s b iː ɐ ʀ ə n
päerdsfleesch	p ɛː ɐ t s f l eː ʃ
päerdsmëscht	p ɛː ɐ t s m ə ʃ t
päerdsrass	p ɛː ɐ t s ʀ ɑ s
päerdsrassen	p ɛː ɐ t s ʀ ɑ s ə n
päerdsschwanz	p ɛː ɐ t s ʃ w ɑ n ts
päerdsschwänz	p ɛː ɐ t s ʃ w æ n ts
päertchen	p ɛː ɐ t ɕ ə n
päertercher	p ɛː ɐ t ɐ ɕ ɐ
paf	p aː f
pafen	p aː f ə n
pafeg	p aː f ə ɕ
pafemillen	p aː f ə m i l ə n
pafendall	p aː f ə n d ɑ l
paff	p ɑ f
paffen	p ɑ f ə n
gepafft	g ə p ɑ f t
pai	p ɑɪ
paien	p ɑɪ ə n
päif	p æːɪ f
päifen	p æːɪ f ə n
gepaff	g ə p ɑ f
paillette	p ɑɪ æ t
pailletten	p ɑɪ æ t ə n
päiperlek	p æːɪ p ɐ l e k
päiperleken	p æːɪ p ɐ l e k ə n
päischten	p æːɪ ʃ t ə n
päischtrous	p æːɪ ʃ t ʀ əʊ s
päischtrousen	p æːɪ ʃ t ʀ əʊ z ə n
päischtvakanz	p æːɪ ʃ t v ɑ k ɑ n ts
päischtvakanzen	p æːɪ ʃ t v ɑ k ɑ n ts ə n
paiziedel	p ɑɪ ts iə d ə l
paiziedelen	p ɑɪ ts iə d ə l ə n
pak	p aː k
päck	p æ k
paken	p aː k ə n
gepaakt	g ə p ɑ ɑ k t
pakistan	p aː k i s t aː n
pakistaner	p aː k i s t aː n ɐ
pakistanerin	p aː k i s t aː n ə ʀ i n
pakistanerinnen	p aː k i s t aː n ə ʀ i n ə n
pakistanesch	p aː k i s t aː n ə ʃ
pakpabeier	p aː k p ɑ b ɑɪ ɐ
pakt	p ɑ k t
pakten	p ɑ k t ə n
palais	p ɑ l ɛː
palaisen	p ɑ l ɛː ə n
palästina	p ɑ l æ s t i n aː
palästinenser	p ɑ l æ s t i n æ n z ɐ
palästinenserin	p ɑ l æ s t i n æ n z ə ʀ i n
palästinenserinnen	p ɑ l æ s t i n æ n z ə ʀ i n ə n
palästinensesch	p ɑ l æ s t i n æ n z ə ʃ
palau	p ɑ l ɑʊ
palauer	p ɑ l ɑʊ ɐ
palauerin	p ɑ l ɑʊ ə ʀ i n
palauerinnen	p ɑ l ɑʊ ə ʀ i n ə n
palauesch	p ɑ l ɑʊ ə ʃ
palaver	p ɑ l aː v ɐ
palaveren	p ɑ l ɑ v æ ʀ ə n
palavert	p ɑ l ɑ v ɛː ʀ
palett	p ɑ l æ t
paletten	p ɑ l æ t ə n
palette	p ɑ l æ t
palier	p ɑ l i eː
palieren	p ɑ l i eː ə n
palissad	p ɑ l i s aː t
palissaden	p ɑ l i s aː d ə n
palissade	p ɑ l i s aː t
pällem	p æ l ə m
pällemsonndeg	p æ l ə m z o n d ə ɕ
paltong	p ɑ l t o ŋ
paltongen	p ɑ l t o ŋ ə n
paltongsrevers	p ɑ l t o ŋ s ʀ ə v æ ʀ s
paltongsreversen	p ɑ l t o ŋ s ʀ ə v ɛ ʀ z ə n
paltongstäsch	p ɑ l t o ŋ ʃ t æ ʃ
paltongstäschen	p ɑ l t o ŋ ʃ t æ ʃ ə n
paltongszéierei	p ɑ l t o ŋ s ts ɜɪ ə ʀ ɑɪ
pan	p aː n
panen	p aː n ə n
panaché	p ɑ n ɑ ʃ eː
panachéen	p ɑ n ɑ ʃ eː ə n
panama	p ɑ n aː m aː
panamaer	p ɑ n aː m ɑ ɐ
panamaerin	p ɑ n aː m ɑ ə ʀ i n
panamaerinnen	p ɑ n aː m ɑ ə ʀ i n ə n
panamaesch	p ɑ n ɑ m aː ə ʃ
panaschéieren	p ɑ n ɑ ʃ ɜɪ ə ʀ ə n
panaschéiert	p ɑ n ɑ ʃ ɜɪ ɐ t
panéieren	p ɑ n ɜɪ ə ʀ ə n
panéiert	p ɑ n ɜɪ ɐ t
panéiermiel	p ɑ n ɜɪ ɐ m iə l
panesch	p aː n ə ʃ
panik	p aː n i k
panikéieren	p aː n i k ɜɪ ə ʀ ə n
panikéiert	p aː n i k ɜɪ ɐ t
pann	p ɑ n
pannen	p ɑ n ə n
pännchen	p æ n ɕ ə n
pännercher	p æ n ɐ ɕ ɐ
panne	p ɑ n ə
panneau	p ɑ n oː
panneauen	p ɑ n oː ə n
pannespur	p ɑ n ə ʃ p uː ʀ
pannespuren	p ɑ n ə ʃ p uː ʀ ə n
pannëspur	p ɑ n ə ʃ p uː ʀ
pannëspuren	p ɑ n ə ʃ p uː ʀ ə n
panorama	p ɑ n o ʀ ɑ m aː
panoramaen	p ɑ n o ʀ ɑ m aː ə n
panschen	p ɑ n ʃ ə n
gepanscht	g ə p ɑ n ʃ t
pantomime	p ɑ n t o m i m
pantomimen	p ɑ n t o m i m ə n
panz	p ɑ n ts
pänz	p æ n ts
pänzelchen	p æ n ts ə l ɕ ə n
pänzelcher	p æ n ts ə l ɕ ɐ
panzer	p ɑ n ts ɐ
panzeren	p ɑ n ts ə ʀ ə n
panzerglas	p ɑ n ts ɐ g l aː s
panzerkasten	p ɑ n ts ɐ k ɑ s t ə n
panzrappecht	p ɑ n ts ʀ ɑ p ə ɕ t
panzrappechten	p ɑ n ts ʀ ɑ p ə ɕ t ə n
panzvollist	p ɑ n ts f o l i s t
panzvollisten	p ɑ n ts f o l i s t ə n
panzvollistin	p ɑ n ts f o l i s t i n
panzvollistinnen	p ɑ n ts f o l i s t i n ə n
pap	p aː p
papagei	p ɑ p ɑ g ɑɪ
papageien	p ɑ p ɑ g ɑɪ ə n
papeg	p aː p ə ɕ
papen	p aː p ə n
gepaapt	g ə p aː p t
paperassen	p aː p ə ʀ ɑ s ə n
papeterie	p aː p ə t ə ʀ iː
papeterien	p aː p ə t eː ʀ j ə n
papp	p ɑ p
pappen	p ɑ p ə n
pappa	p ɑ p aː
pappaen	p ɑ p aː ə n
pappendag	p ɑ p ə n d aː χ
pappereg	p ɑ p ə ʀ ə ɕ
paprika	p ɑ p ʀ i k aː
paprikaen	p ɑ p ʀ i k aː ə n
papua	p ɑ p u aː
neuguinea	n øː g i n e aː
neuguineër	n øː g i n eː ɐ
neuguineërin	n øː g i n eː ə ʀ i n
neuguineërinnen	n øː g i n eː ə ʀ i n ə n
neuguineësch	n øː g i n eː ə ʃ
papyrus	p ɑ p i ʀ u s
papyrussen	p ɑ p i ʀ u s ə n
par	p aː ʀ
paren	p aː ʀ ə n
parachutist	p ɑ ʀ ɑ χ u t i s t
parachutisten	p ɑ ʀ ɑ χ u t i s t ə n
parachutistin	p ɑ ʀ ɑ χ u t i s t i n
parachutistinnen	p ɑ ʀ ɑ χ u t i s t i n ə n
parad	p ɑ ʀ aː t
paraden	p ɑ ʀ aː d ə n
paradäis	p ɑ ʀ ɑ d æːɪ s
parade	p ɑ ʀ aː t
paradox	p ɑ ʀ ɑ d o k s
paradoxen	p ɑ ʀ ɑ d o k s ə n
paradoxal	p ɑ ʀ ɑ d o k s aː l
paragraf	p ɑ ʀ ɑ g ʀ aː f
paragrafen	p ɑ ʀ ɑ g ʀ aː f ə n
paragraph	p ɑ ʀ ɑ g ʀ aː f
paragraphen	p ɑ ʀ ɑ g ʀ aː f ə n
paraguay	p ɑ ʀ ɑ g aː iː
paraguayer	p ɑ ʀ ɑ g aː ɑ j eː
paraguayerin	p ɑ ʀ ɑ g aː i ə ʀ i n
paraguayerinnen	p ɑ ʀ ɑ g aː i ə ʀ i n ə n
paraguayesch	p ɑ ʀ ɑ g aː i ə ʃ
paräis	p ɑ ʀ æːɪ s
parallel	p ɑ ʀ ɑ l ə l
parallelklass	p ɑ ʀ ɑ l ə l k l ɑ s
parallelklassen	p ɑ ʀ ɑ l ə l k l ɑ s ə n
paralyséieren	p ɑ ʀ ɑ l iː z ɜɪ ə ʀ ə n
paralyséiert	p ɑ ʀ ɑ l iː z ɜɪ ɐ t
parameter	p ɑ ʀ ɑ m eː t ɐ
parameteren	p ɑ ʀ ɑ m eː t ə ʀ ə n
paranoid	p ɑ ʀ ɑ̃ː w t
paraph	p ɑ ʀ aː f
paraphen	p ɑ ʀ aː f ə n
paraphe	p ɑ ʀ aː f ə
paraphéieren	p ɑ ʀ aː f ɜɪ ə ʀ ə n
paraphéiert	p ɑ ʀ aː f ɜɪ ɐ t
parasit	p ɑ ʀ ɑ z i t
parasitten	p ɑ ʀ aː s i t ə n
parat	p ɑ ʀ aː t
paravent	p ɑ ʀ ɑ v ɑ̃ː
paraventen	p ɑ ʀ ɑ v ɑ̃ː ə n
parcours	p ɑ ʀ k uː ɐ
parcoursen	p ɑ ʀ k uː ə ʀ ə n
pardon	p ɑ ʀ d ɑ̃ː
pardong	p ɑ ʀ d o ŋ
parechoc	p aː ʀ ʃ o k
parechocken	p aː ʀ ʃ o k ə n
paréck	p ɑ ʀ e k
parécken	p ɑ ʀ e k ə n
paréieren	p ɑ ʀ ɜɪ ə ʀ ə n
paréiert	p ɑ ʀ ɜɪ ɐ t
pärel	p ɛː ʀ ə l
pärelen	p ɛː ʀ ə l ə n
pärelchen	p ɛː ʀ ə l ɕ ə n
pärelcher	p ɛː ʀ ə l ɕ ɐ
gepärelt	g ə p ɛː ʀ ə l t
pärelsketten	p ɛː ʀ ə l s k æ t ə n
parfum	p ɑ ʀ f u m
parfumen	p ɑ ʀ f u m ə n
parfüméieren	p ɑ ʀ f y m ɜɪ ə ʀ ə n
parfüméiert	p ɑ ʀ f y m ɜɪ ɐ t
parfuméieren	p ɑ ʀ f u m ɜɪ ə ʀ ə n
parfuméiert	p ɑ ʀ f u m ɜɪ ɐ t
parfümerie	p ɑ ʀ f y m ə ʀ iː
parfümerien	p ɑ ʀ f y m ə ʀ iː ə n
parfumerie	p ɑ ʀ f u m ə ʀ iː
parfumerien	p ɑ ʀ f u m ə ʀ iː ə n
paritéit	p ɑ ʀ i t ɜɪ t
park	p ɑ ʀ k
parken	p ɑ ʀ k ə n
parkauer	p ɑ ʀ k ɑʊ ɐ
parkaueren	p ɑ ʀ k ɑʊ ə ʀ ə n
geparkt	g ə p ɑ ʀ k t
parkhaus	p ɑ ʀ k h æːʊ s
parkhaiser	p ɑ ʀ k h ɑɪ z ɐ
parking	p ɑ ʀ k i ŋ
parkingen	p ɑ ʀ k i ŋ ə n
parkplaz	p ɑ ʀ k p l aː ts
parkplazen	p ɑ ʀ k p l aː ts ə n
parkscheif	p ɑ ʀ k ʃ ɑɪ f
parkscheiwen	p ɑ ʀ k ʃ ɑɪ v ə n
parkticket	p ɑ ʀ k t i k eː
parkticketen	p ɑ ʀ k t i k eː ə n
parkzäit	p ɑ ʀ k ts æːɪ t
parlament	p ɑ ʀ l aː m æ n t
parlamenter	p ɑ ʀ l aː m æ n t ɐ
parlamentaresch	p ɑ ʀ l aː m æ n t aː ʀ ə ʃ
parlamentswahl	p ɑ ʀ l aː m æ n t s v aː l
parlamentswahlen	p ɑ ʀ l aː m æ n t s v aː l ə n
parlamentswal	p ɑ ʀ l aː m æ n t s v aː l
parlamentswalen	p ɑ ʀ l aː m æ n t s v aː l ə n
parodéieren	p ɑ ʀ o d ɜɪ ə ʀ ə n
parodéiert	p ɑ ʀ o d ɜɪ ɐ t
parodie	p ɑ ʀ oː d iː
parodien	p ɑ ʀ oː d iː ə n
parol	p ɑ ʀ oː l
parolen	p ɑ ʀ oː l ə n
parquet	p ɑ ʀ k eː
parqueten	p ɑ ʀ k eː ə n
partei	p ɑ ʀ t ɑɪ
parteien	p ɑ ʀ t ɑɪ ə n
parteichef	p ɑ ʀ t eː i ʃ æ f
parteicheffen	p ɑ ʀ t eː i ʃ æ f ə n
parteicheffin	p ɑ ʀ t eː i ʃ æ f i n
parteicheffinnen	p ɑ ʀ t eː i ʃ æ f i n ə n
parteiesch	p ɑ ʀ t ɑɪ ə ʃ
parteipresident	p ɑ ʀ t eː i p ʀ e z i d æ n t
parteipresidenten	p ɑ ʀ t eː i p ʀ e z i d æ n t ə n
parteipresidentin	p ɑ ʀ t eː i p ʀ e z i d æ n t i n
parteipresidentinnen	p ɑ ʀ t eː i p ʀ e z i d æ n t i n ə n
parteispëtz	p ɑ ʀ t eː i s p ə ts
parteispëtzen	p ɑ ʀ t eː i s p ə ts ə n
parteispëtzt	p ɑ ʀ t eː i s p ə ts t
parteispëtzten	p ɑ ʀ t eː i s p ə ts t ə n
parterre	p ɑ ʀ t ə ʀ
parterren	p ɑ ʀ t æ ʀ ə n
participant	p ɑ ʀ t i s i p ɑ̃ː
participanten	p ɑ ʀ t i s i p ɑ̃ː ə n
participante	p ɑ ʀ t i s i p ɑ̃ː ə
participanteën	p ɑ ʀ t i s i p ɑ̃ː t ə n
participatioun	p ɑ ʀ t i s i p ts j əʊ n
participatiounen	p ɑ ʀ t i s i p ɑ ts j əʊ n ə n
participéieren	p ɑ ʀ t i s i p ɜɪ ə ʀ ə n
participéiert	p ɑ ʀ t i s i p ɜɪ ɐ t
partie	p ɑ ʀ t iː
partien	p ɑ ʀ t iː ə n
partiell	p ɑ ʀ t j æ l
partikel	p ɑ ʀ t i k ə l
partikelen	p ɑ ʀ t i k ə l ə n
partisan	p ɑ ʀ t i z aː n
partisanen	p ɑ ʀ t i z aː n ə n
partisanin	p ɑ ʀ t i z aː n i n
partisaninnen	p ɑ ʀ t i z aː n i n ə n
partitioun	p ɑ ʀ t i ts j əʊ n
partitiounen	p ɑ ʀ t i ts j əʊ n ə n
partitur	p ɑ ʀ t i t yː ʀ
partituren	p ɑ ʀ t i t yː ʀ ə n
partner	p ɑ ʀ t n ɐ
partnerin	p ɑ ʀ t n ə ʀ i n
partnerinnen	p ɑ ʀ t n ə ʀ i n ə n
partnerschaft	p ɑ ʀ t n ɐ ʃ ɑ f t
partnerschaften	p ɑ ʀ t n ɐ ʃ ɑ f t ə n
partout	p ɑ ʀ t uː
party	p aː ʀ t iː
partyen	p aː ʀ t iː ə n
parvis	p ɑ ʀ v iː
parvisen	p ɑ ʀ v iː ə n
parzeläin	p ɑ ʀ ts ə l æːɪ n
parzeläins	p ɑ ʀ ts ə l æːɪ n s
parzell	p ɑ ʀ ts æ l
parzellen	p ɑ ʀ ts æ l ə n
pascha	p ɑ ʃ aː
paschaen	p ɑ ʃ aː ə n
paschtéit	p ɑ ʃ t ɜɪ t
paschtéiten	p ɑ ʃ t ɜɪ t ə n
paschtéitchen	p ɑ ʃ t ɜɪ t ɕ ə n
paschtéitercher	p ɑ ʃ t ɜɪ t ɐ ɕ ɐ
paschtouer	p ɑ ʃ t əʊ ɐ
paschtéier	p ɑ ʃ t ɜɪ ɐ
paschtouesch	p ɑ ʃ t əʊ ə ʃ
paschtoueschen	p ɑ ʃ t əʊ ə ʃ ə n
paschtoueschhaus	p ɑ ʃ t əʊ ə ʃ h æːʊ s
paschtoueschhaiser	p ɑ ʃ t əʊ ə ʃ h ɑɪ z ɐ
pass	p ɑ s
päss	p æ s
passen	p ɑ s ə n
passabel	p ɑ s aː b ə l
passage	p ɑ s aː ʃ
passagen	p ɑ s ɑ ʒ ə n
passagéier	p ɑ s ɑ ʒ ɜɪ ɐ
passagéierschëff	p ɑ s ɑ ʒ ɜɪ ɐ ʃ ə f
passagéierschëffer	p ɑ s ɑ ʒ ɜɪ ɐ ʃ ə f ɐ
passant	p ɑ s ɑ n t
passanten	p ɑ s ɑ n t ə n
passantin	p ɑ s ɑ n t i n
passantinnen	p ɑ s ɑ n t i n ə n
passbureau	p ɑ s b y ʀ oː
passbureauen	p ɑ s b y ʀ oː ə n
passbüro	p ɑ s b y ʀ oː
passbüroen	p ɑ s b y ʀ oː ə n
passéieren	p ɑ s ɜɪ ə ʀ ə n
passéiert	p ɑ s ɜɪ ɐ t
gepasst	g ə p ɑ s t
passend	p ɑ s ə n t
passepartout	p ɑ s ə p ɑ ʀ t uː
passepartouten	p ɑ s ə p ɑ ʀ t uː ə n
passerell	p ɑ s ə ʀ æ l
passerellen	p ɑ s ɐ æ l ə n
passerelle	p ɑ s ɐ æ l ə
passett	p ɑ s æ t
passetten	p ɑ s æ t ə n
passette	p ɑ s æ t
passeur	p ɑ s œː ʀ
passeuren	p ɑ s œː ʀ ə n
passeuse	p ɑ s øː s
passeusen	p ɑ s øː s ə n
passfoto	p ɑ s f o t oː
passfotoen	p ɑ s f o t oː ə n
passionéiert	p ɑ s j oː n ɜɪ ɐ t
passioun	p ɑ s j əʊ n
passiounen	p ɑ s j əʊ n ə n
passiv	p ɑ s iː f
passivitéit	p ɑ s i v i t ɜɪ t
passkontroll	p ɑ s k o n t ʀ o l
passkontrollen	p ɑ s k o n t ʀ o l ə n
passwuert	p ɑ s v uː ɐ t
passwierder	p ɑ s v iː ɐ d ɐ
pastellfaarf	p ɑ ʃ t æ l f aː ɐ f
pastellfaarwen	p ɑ ʃ t æ l f aː ɐ v ə n
pasteurisatioun	p ɑ s t œː ʀ i z ɑ ts j əʊ n
pasteuriséieren	p ɑ s t œː ʀ i z ɜɪ ə ʀ ə n
pasteuriséiert	p ɑ s t œː ʀ i z ɜɪ ɐ t
pasteuriséierung	p ɑ s t œː ʀ i s ɜɪ ə ʀ u ŋ
pastill	p ɑ s t i l
pastillen	p ɑ s t i l ə n
pastillchen	p ɑ s t i l ɕ ə n
pastillercher	p ɑ s t i l ɐ ɕ ɐ
paté	p ɑ t eː
patéen	p ɑ t eː ə n
patent	p ɑ t æ n t
patenter	p ɑ t æ n t ɐ
patentéieren	p ɑ t ɑ̃ː t ɜɪ ə ʀ ə n
patentéiert	p ɑ t ɑ̃ː t ɜɪ ɐ t
patentrechtlech	p ɑ t ɑ̃ː t ʀ æ ɕ t l ə ɕ
pater	p aː t ɐ
pateren	p ɑ t ə ʀ ə n
pathetesch	p ɑ t eː t ə ʃ
patholog	p ɑ t o l oː k
pathologen	p ɑ t oː l oː g ə n
pathologesch	p ɑ t o l oː ʁ ə ʃ
pathologie	p ɑ t oː l oː ʒ iː
pathologien	p ɑ t oː l oː ʒ iː ə n
pathologin	p ɑ t oː l oː g i n
pathologinnen	p ɑ t o l oː g i n ə n
pathos	p ɑ t oː s
patient	p ɑ ts j æ n t
patienten	p ɑ ts j æ n t ə n
patientin	p ɑ ts j æ n t iː n
patientinnen	p ɑ ts j æ n t i n ə n
patisserie	p ɑ t i s ə ʀ iː
patisserien	p ɑ t i s ə ʀ iː ə n
patissier	p ɑ t i s j eː
patissieren	p ɑ t i s j eː ə n
patissière	p ɑ t i s i ɛː ʀ
patissièren	p ɑ t i s j ɛː ʀ ə n
patréiner	p ɑ t ʀ ɜɪ n ɐ
patréinerin	p ɑ t ʀ ɜɪ n ə ʀ i n
patréinerinnen	p ɑ t ʀ ɜɪ n ə ʀ i n ə n
patréinesch	p ɑ t ʀ ɜɪ n ə ʃ
patréineschen	p ɑ t ʀ ɜɪ n ə ʃ ə n
